"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"SW24","CHERRYMX_5PIN","3703.125mil","5687.5mil","3703.125mil","5687.5mil","3853.125mil","5587.5mil","T","180.00","F3"
"SW23","CHERRYMX_5PIN","3234.375mil","4562.5mil","3234.375mil","4562.5mil","3384.375mil","4462.5mil","T","180.00","3"
"SW22","CHERRYMX_5PIN","3609.375mil","3812.5mil","3609.375mil","3812.5mil","3759.375mil","3712.5mil","T","180.00","E"
"SW21","CHERRYMX_5PIN","3046.875mil","3062.5mil","3046.875mil","3062.5mil","3196.875mil","2962.5mil","T","180.00","S"
"SW20","CHERRYMX_5PIN","3421.875mil","2312.5mil","3421.875mil","2312.5mil","3571.875mil","2212.5mil","T","180.00","X"
"SW19","CHERRYMX_5PIN","17484.375mil","4562.5mil","17484.375mil","4562.5mil","17634.375mil","4462.5mil","T","180.00","Num. *"
"SW18","CHERRYMX_5PIN","2765.625mil","5687.5mil","2765.625mil","5687.5mil","2915.625mil","5587.5mil","T","180.00","F2"
"SW17","CHERRYMX_5PIN","2484.375mil","4562.5mil","2484.375mil","4562.5mil","2634.375mil","4462.5mil","T","180.00","2"
"SW16","CHERRYMX_5PIN","2859.375mil","3812.5mil","2859.375mil","3812.5mil","3009.375mil","3712.5mil","T","180.00","W"
"SW15","CHERRYMX_5PIN","2296.875mil","3062.5mil","2296.875mil","3062.5mil","2446.875mil","2962.5mil","T","180.00","A"
"SW14","CHERRYMX_5PIN","2671.875mil","2312.5mil","2671.875mil","2312.5mil","2821.875mil","2212.5mil","T","180.00","Z"
"SW13","CHERRYMX_5PIN","6046.875mil","1562.5mil","6046.875mil","1562.5mil","6196.875mil","1462.5mil","T","180.00","Space"
"SW12","CHERRYMX_5PIN","1828.125mil","5687.5mil","1828.125mil","5687.5mil","1978.125mil","5587.5mil","T","180.00","F1"
"SW11","CHERRYMX_5PIN","1734.375mil","4562.5mil","1734.375mil","4562.5mil","1884.375mil","4462.5mil","T","180.00","1"
